Var1,mediandff,registered,maskdff,combmaskdff
4,-0.0350109409190372,0,0.0305849417853756,0.0145613506745772
5,-0.0341655716162944,0,0.0309828330586146,0.0107142183965412
6,-0.0433839479392624,0,0.0234325770360413,0.0102808982194549
7,-0.0414400590006233,0,0.024677034527782,0.00645557198870428
8,-0.0375747224594363,0,0.0271938168329777,0.0107362191126501
9,-0.0411776192441811,0,0.0257751870157241,0.00791393413947294
10,-0.0392156862745098,0,0.0264323322438271,0.00503132219516367
11,-0.0376432078559738,0,0.0250448060264581,0.00575381848591494
12,-0.0500807754442649,0,0.0198427563014028,0.00593781586897735
13,-0.0458970792767733,0,0.0189982347105571,0.00229988446389129
14,-0.0454545454545454,0,0.0199425497520784,0.00440197491275218
15,-0.0392156862745098,0,0.0240616675350529,0.00818759622062371
16,-0.0439024390243903,0,0.0215639782407508,0.00437101904753368
17,-0.0449775112443778,0,0.0180750552481903,4.66869980231266e-07
18,-0.0485436893203883,0,0.0166896648860031,0.00110759490946233
19,-0.0490867579908675,0,0.0150632365010983,0.00163510377982012
20,-0.0485436893203883,0,0.0163867360159256,0.000153898780048678
21,-0.0506085172228202,0,0.0157099047136251,-0.00267529542369083
22,-0.0524861878453038,0,0.0128770790094472,-0.00101638256918313
23,-0.0489130434782608,0,0.017328342253236,-0.00242285192923741
24,-0.0519951632406287,0,0.0126962582522345,0.00133663420145891
25,-0.0543859649122807,0,0.0142036636155598,-0.000256676656577803
26,-0.0533578656853726,0,0.0137702442602425,3.44016045146223e-05
27,-0.0592,0,0.0101875217479028,-0.00753801930312958
28,-0.0576923076923077,0,0.01085780690426,-0.00272130163268458
29,-0.0537578288100208,0,0.0138962791670616,-0.000940511939385935
30,-0.0550964187327823,0,0.0149105064042281,-0.00341741194714063
31,-0.0537931034482758,0,0.0167533603567802,-0.0022824953391537
32,-0.0545302013422819,0,0.0151688077161438,-0.00325683955968636
33,-0.0512798602826542,0,0.0145916351613071,-0.00128865462225147
34,-0.0526315789473684,0,0.0138950702169227,-0.00231811182962793
35,-0.0561797752808988,0,0.00958501515560428,-0.00404924988566935
36,-0.053827446033081,0,0.0147117147362319,-0.000865759282784984
37,-0.0504063750760708,0,0.0136615936700923,-0.0061038207320403
38,-0.0491206791995149,0,0.0158940287308835,-0.00168786206857741
39,-0.0536480686695278,0,0.014319564048662,-0.00153173743193069
40,-0.0537931034482759,0,0.0120418022692428,-0.00424933490376478
41,-0.054054054054054,0,0.0122047384283692,-0.006490654756095
42,-0.0535557506584724,0,0.0126849308364336,-0.00979318019838915
43,-0.0554216867469879,0,0.0101209405398988,-0.00702294665569603
44,-0.0551555713295813,0,0.0110843528574214,-0.00553756021638285
45,-0.0554672042061848,0,0.0121290264639204,-0.0112531414276578
46,-0.0593368237347295,0,0.00947374945347002,-0.0167922907065587
47,-0.0429687499999999,0,0.024004583637369,-0.012225416143246
48,-0.0373280943025541,0,0.0270240921784863,-0.0167243485788243
49,-0.0392156862745098,0,0.0239032149427394,-0.0134796591952469
50,0.997088791848617,0,1.02458224690356,0.785627120026611
51,1.77358490566038,0,1.80436319157581,1.63188998142374
52,1.80616740088106,0,1.83851621662982,1.6620794821369
53,1.79619565217391,0,1.8179184840614,1.66408304196945
54,1.75387596899225,0,1.79764077715007,1.66022620802314
55,1.75797373358349,0,1.793686600507,1.65492821274388
56,1.75195007800312,0,1.79158375819894,1.64406409658641
57,1.75443786982249,0,1.79083710421578,1.63318679816748
58,1.73390557939914,0,1.77664896363894,1.62479956923493
59,1.73338802296965,0,1.77052833822811,1.62118964232512
60,1.72027212525048,0,1.76654290043935,1.61989510414311
61,1.70344827586207,0,1.74612903405749,1.6071013577022
62,1.71146245059289,0,1.75721553789394,1.60034060322337
63,1.7007874015748,0,1.73808706943041,1.59424871938239
64,1.69915254237288,0,1.74691734125194,1.59083608689302
65,1.695,0,1.74496976772514,1.58292203223747
66,1.68388106416275,0,1.72755595217747,1.5759318849603
67,1.68309377138946,0,1.72358643971478,1.57307852835008
68,1.68733347696889,0,1.7376155357942,1.57146256854556
69,1.69312977099237,0,1.73335544617013,1.57640192757384
70,1.66831683168317,0,1.70817531558453,1.56119166001583
71,1.67120954003407,0,1.71817839503973,1.5495242724634
72,1.66617647058824,0,1.71764172729961,1.550638920391
73,1.65582655826558,0,1.70607182606163,1.54535802736098
74,1.66186252771619,0,1.71446941816734,1.54698109533419
