Var1,mediandff,registered,maskdff,combmaskdff,indivmaskdff,mediansnr
1,-0.0588235294117647,0,0.0207576467474289,0.0123040240764201,-0.183673469387755,-0.182574185835055
2,-0.0410958904109589,0,0.0188464012721199,0.00730095358176053,0.0204081632653061,-0.144672846651124
3,-0.0625000000000001,0,0.0171968546652945,0.00828446430223839,-0.183673469387755,-0.196116135138184
4,-0.0476190476190477,0,0.0157650061676651,0.00364849059458172,0.122448979591837,-0.171341174751248
5,-0.0625000000000001,0,0.01539138791537,0.00470478506038985,-0.183673469387755,-0.196116135138184
6,-0.0697674418604651,0,0.0144308388462582,0.00151956645389872,-0.183673469387755,-0.216930457818656
7,-0.0495049504950495,0,0.0118340752919617,0.00157276679728513,0.0204081632653061,-0.172132593164774
8,-0.0645161290322581,0,0.0137189538023441,-0.00173336491466214,-0.183673469387755,-0.204598301841142
9,-0.0731707317073171,0,0.0074550380395253,-0.0149873687367477,-0.183673469387755,-0.224756454673777
10,-0.0909090909090909,0,-0.00148305007581939,-0.0226143172151644,-0.183673469387755,-0.267261241912424
11,-0.0697674418604651,0,-0.00042130416224273,-0.0295306478061558,0.0204081632653061,-0.235702260395516
12,0.25,0,0.328199048743634,0.232801635121556,0.122448979591837,0.787726361443376
13,0.914893617021276,0,0.974207603740685,0.802031957693885,0.73469387755102,2.82023604389483
14,0.981132075471698,0,1.03378938402102,0.863169523296138,0.836734693877551,3.09628107925284
15,1.00743751382438,0,1.07877273029081,0.900577704754142,0.836734693877551,3.14030855089832
16,1.04081632653061,0,1.09550996637908,0.916435304812209,0.938775510204082,3.3123146848433
17,1.0253164556962,0,1.08810973114037,0.91452844397694,0.836734693877551,3.21662735210752
18,1.05607476635514,0,1.10838444901664,0.924692921070069,0.938775510204082,3.3166247903554
19,1.06377450149692,0,1.12725174893455,0.931326483603266,1.04081632653061,3.43542248632893
20,1.05882352941176,0,1.12115877551333,0.930739785104971,0.938775510204082,3.36284041431851
21,1.06896551724138,0,1.12211140112193,0.943911520792558,0.938775510204082,3.35661719308171
22,1.05882352941176,0,1.12384573313294,0.93131176589221,0.938775510204082,3.35097482205768
23,1.06765357934635,0,1.12587370599683,0.936176227842124,0.938775510204082,3.36209305712537
24,1.05761316872428,0,1.12238732270913,0.935363232020215,0.938775510204082,3.34251608718693
25,1.06896551724138,0,1.14065944118785,0.937860775647577,0.836734693877551,3.31475924706145
26,1.06349206349206,0,1.12717791837203,0.941377942286323,0.938775510204082,3.38161117185981
27,1.06896551724138,0,1.14473095777767,0.94045232622589,1.04081632653061,3.42900342900514
28,1.06205623972081,0,1.12980366250173,0.939251349899709,0.938775510204082,3.34250043122336
29,1.06349206349206,0,1.13401278349202,0.934774034400489,0.938775510204082,3.36572278829384
30,1.04819277108434,0,1.11721758563986,0.938518655375583,0.836734693877551,3.27956636699969
31,1.06129756759047,0,1.12674438702212,0.932392329306903,0.938775510204082,3.33892004947321
32,1.05882352941176,0,1.12244572383349,0.933597387467014,0.938775510204082,3.38132124077754
33,1.05882352941176,0,1.12281814675155,0.92925466513635,0.938775510204082,3.3347172268501
34,1.05607476635514,0,1.11565221394242,0.938112681745178,0.938775510204082,3.34011048143157
35,1.05882352941176,0,1.10891208884265,0.926299263031356,0.938775510204082,3.3347172268501
36,1.05128205128205,0,1.11049273226634,0.93033472142157,1.04081632653061,3.35097482205768
37,1.05128205128205,0,1.1246361806853,0.927275063127962,0.938775510204082,3.30713069019987
38,1.05882352941176,0,1.12947401487192,0.929085365688461,0.938775510204082,3.30713069019987
39,1.04379562043796,0,1.11832952597337,0.919890512155458,0.938775510204082,3.3123146848433
40,1.04957970282905,0,1.10582622175482,0.925411289426455,0.938775510204082,3.34011048143157
41,1.05673758865248,0,1.11019761950123,0.917713220433862,0.938775510204082,3.33399669774619
42,1.04379562043796,0,1.11595624460317,0.922554446540452,0.836734693877551,3.2696955654784
43,1.04545454545455,0,1.11582803006745,0.934380003727238,0.938775510204082,3.27521404293323
44,1.02898550724638,0,1.10217128064255,0.926467976005112,0.73469387755102,3.08361729988887
45,1.05673758865248,0,1.11762070622494,0.918733858945908,0.938775510204082,3.3663092073542
46,1.04724409448819,0,1.11611756709391,0.925102047559523,0.938775510204082,3.3347172268501
47,1.03991130820399,0,1.11013523863339,0.915075287327888,0.938775510204082,3.29794945204369
48,1.03703703703704,0,1.10689407322517,0.910796961410804,0.938775510204082,3.27010741780455
49,1.02702702702703,0,1.10169331812311,0.885769931597587,0.938775510204082,3.27051927013071
50,1.03517587939698,0,1.09069894417381,0.884073365429934,0.938775510204082,3.30713069019987
