Var1,mediandff,registered,maskdff,combmaskdff,indivmaskdff,mediansnr
1,-0.0123456790123456,0,0.0228082507091802,0.00707180284403885,-0.0123456790123456,-0.0550481882563178
2,-0.0134529147982063,0,0.0245230239361298,0.00743853857174659,-0.0123456790123456,-0.0598957264927428
3,-0.0217391304347825,0,0.0187820897041946,0.00571455505099228,-0.0123456790123456,-0.0958926602970765
4,-0.0175438596491228,0,0.0193991934677595,0.00605366142043562,0.0493827160493827,-0.0824647354448489
5,-0.025974025974026,0,0.0125345281656764,0.0032033436768355,-0.0123456790123456,-0.118469775551819
6,-0.0207156308851224,0,0.0131758207371679,0.00229348236606186,-0.0123456790123456,-0.0919277119553846
7,-0.0419161676646706,0,-0.0032127804614015,-0.00515175616244867,-0.0123456790123456,-0.189022186243249
8,-0.0507726269315673,0,-0.00793415552794463,-0.00785085850207812,-0.0123456790123456,-0.224756454673777
9,-0.05290765999582,0,-0.0121389645617043,-0.00817083589876466,-0.0123456790123456,-0.232047740446128
10,0.00456621004566217,0,0.0401920220549472,-0.0106019333668171,-0.0123456790123456,0.0230021853114121
11,0.530612244897959,0,0.610588728901298,0.408354208063752,0.604938271604938,2.29148068648509
12,0.983471074380165,0,0.997947810528129,0.915985637619897,1.09876543209877,4.33223342463187
13,0.991341991341991,0,1.01583855869807,0.954685929590163,1.03703703703704,4.32115884839975
14,1,0,1.01554705266362,0.96367814208385,1.09876543209877,4.35889894354067
15,1.02474237322722,0,1.04342209084958,0.964081327001133,1.09876543209877,4.48127416945428
16,1,0,1.02504814777125,0.962805168814339,1.09876543209877,4.40222422101986
17,1.00680272108844,0,1.02748258373335,0.958910827890444,1.16049382716049,4.45890324876176
18,0.964285714285714,0,0.988093285590311,0.954569729426405,1.09876543209877,4.23773236938315
19,1,0,1.01326606592754,0.952642692157075,1.16049382716049,4.42637274361291
20,0.960590176664725,0,0.987526162865443,0.952226779550893,1.09876543209877,4.26629381690559
21,0.956521739130435,0,0.976909363588797,0.946972423801178,1.03703703703704,4.21847130654769
22,0.964285714285714,0,0.996505622078953,0.947479010514386,1.09876543209877,4.2576344347997
23,0.955307262569833,0,0.98621787605806,0.94353079214768,1.03703703703704,4.19288465023078
24,1,0,1.02756443042185,0.9393873250065,1.09876543209877,4.4017121700551
25,1,0,1.02633610065259,0.93890986726982,1.16049382716049,4.43744398172068
26,3.42553191489362,0,2.58738619776066,-0.917655613560726,3.75308641975309,14.8325842507486
