Var1,mediandff,registered,maskdff,combmaskdff
1,-0.037037037037037,0,0.0211939887096868,0.0065387723197754
2,-0.038961038961039,0,0.0173841141863149,0.00354535988913729
3,-0.042533527352814,0,0.0204250208772419,0.00367167174831251
4,-0.0363288718929254,0,0.0211100820146912,0.00608034390150225
5,-0.037037037037037,0,0.0234910715730681,0.00729982143678676
6,-0.0323974082073434,0,0.0228374031575957,0.0074385858006274
7,-0.0344827586206897,0,0.0241440715897865,0.0100445452036719
8,-0.031700288184438,0,0.0250313544168776,0.00859949165744744
9,-0.0463215258855586,0,0.0165082752685275,-0.00402994655019684
10,-0.0514905149051491,0,0.00952925435296326,-0.0102472471289864
11,-0.050251256281407,0,0.0105339808594318,-0.0134791906078161
12,-0.0522243713733076,0,0.00967344009203308,-0.0124488562747826
13,-0.0497737556561086,0,0.0116636423802918,-0.0109552150708576
14,-0.0344827586206896,0,0.022811957746192,-0.00205813632462248
15,0.0687022900763358,0,0.132516474450892,0.100883826954387
16,0.326683291770574,0,0.38774363765651,0.324460300423878
17,0.552475247524753,0,0.613188015006889,0.534331395002724
18,0.706546275395034,0,0.765049882567303,0.667083266486593
19,0.776119402985075,0,0.834476352561049,0.750902391480683
20,0.808118081180812,0,0.869234055070989,0.790058685552614
21,0.830769230769231,0,0.892351286057584,0.811570304737987
22,0.842105263157895,0,0.89987260731179,0.824826376548363
23,0.849498327759197,0,0.911283264002729,0.829215748182631
24,0.854700854700855,0,0.917603224551132,0.833029156581294
25,0.858024691358025,0,0.921374148582923,0.837623715241888
26,0.855813953488372,0,0.917643838159411,0.835862295658117
27,0.84984984984985,0,0.910986221099823,0.832817562144481
28,0.859778597785978,0,0.918536161893488,0.833694857361602
29,0.856179775280899,0,0.919097631321163,0.839209972311434
30,0.847874720357942,0,0.909765943068049,0.834159022286949
31,0.852494577006507,0,0.917582795522434,0.835944054651115
32,0.862385321100917,0,0.919591030900034,0.838493258982367
33,0.862385321100917,0,0.921442842921162,0.83551144781555
34,0.854304635761589,0,0.914239798739732,0.830954190346676
35,0.856992481203007,0,0.921222641767816,0.832434814313174
36,0.675213675213675,0,0.834357244373316,-0.83777678400812
